Sentence,Type
"যা‌দের মন সুন্দর তা‌দের ছ‌বিও সুন্দর।
",No
আল্লাহ সুবহানাহু ওয়াতাআ'লা নেক হায়াৎ দান করুন,No
আলহামদুলিল্লাহ ভালো সিদ্ধান্ত,No
"আপনাকে নিচে নামানোর জন্য অনেকেই অনেক কিছু বলবে, সব বাধা পেরিয়ে উপরের দিকে উঠেন এটাই ভাল সিদ্ধান্ত",No
হিরো আলমের বউ ক্ষেপতেসো ক্যান?,Yes
কলকাতার হুগো মারা সারা,Yes
সৌন্দর্য কখনো চরিত্রের চেয়ে দামি হতে পারেনা,No
শুভকামনা সবসময়,No
হিরোইন হিসেবে সান্ডি সাহাকেই পাবেন আর সংগীত শিল্পী হিসেবে রানু মন্ডল তো থাকছেই,Yes
স্যার আপনার জন্য শুভ কামনা রইল,No
শুনে খুবই ভালো লাগলো,No
দূরে যায় মর,Yes
বাংলাদেশে হাগু করা শেষ,Yes
তোরে নিয়া চাকরের অভিনয় করাবে,Yes
এবার দেশের গোয়া মারা সারা,Yes
এখন কলকাতারে গোয়া মারবেন,Yes
জাবি ত ঝা সালা এত বার বলার কি আছে বাল,Yes
তোর কিছু আপলোড দেখলে আমার মাথা ঘুরায়,Yes
সামনের দাতগুলি নিচু করা লাগবে তাহলে ভালো লাগতো দেখতে।,Yes
ঢুকাতে ঢুকাতে ঢিলা হয়ে গেছে,Yes
"এপার বাংলার হোগা মারে, এবার অপার বাংলার হোগা মারবে",Yes
বানর নাচ দেখাতে যাবা নাকি,Yes
দীর্ঘ দিনের স্বপ্ন রানু মন্ডলের সাথে অভিনয় করার। তা সফল হতে চলেছে,Yes
এর গান শোনা এবং চান্দের দেশে ফুটবল খেলা একে কথা,Yes
কলকাতায় দাও তোমারে বাঁশ দিয়ে উপরে উঠিয়ে দেবে কুকুরের বাচ্চা কখনো দালানে উঠতে পারে না,Yes
বাশ ভরে দিব পিচনে,Yes
ওরে বোকাচোদা,Yes
তোর মতো মাদার বোর্ডের কারনে.... চলচ্চিত্রের হোগামারা সারা,Yes
সালার পো সালা,Yes
"যা হালা ভাগ,,,তুই বাংলার কলংক",Yes
যদি তোর ডাক শুনে কেউ না আসে তবে একলা চলো রে,No
তুমি অনেকের চেয়ে অনেক সুন্দর,No
ভাই আপনার মতন ভালো মানুষ থাকতো তাহলে এই পৃথিবীতে কোন ভেদাভেদ থাকত না,No
বহুত হয়েছে এবার একটু থাম ভাই ,Yes
ভাই কসা হয়েছে নাকি,Yes
তাতে আমার বাল ছেঁড়া গেল,Yes
আহা সোনা গো আমার,Yes
তুমি কথাই বলতে যানো না,Yes
তাতে আমার চুল ছিড়া যাবে,Yes
ভেঙ্গে পড়লে চলবে না,No
সাহস হারানো যাবেনা,No
বিদায় হলেই ভালো।আগের যায়গায় ফিরে যাও দাদু।,Yes
তোমার ছবি দেখে কে,Yes
সমালোচকদের কথা কানে নাহ নিয়ে তাদের আপনার কর্মের মধ্য দিয়ে মুখে চুন-কালি মাখিয়ে দিন,No
আহ সোনগো,Yes
তুমি শান্ত হও  তোমার বাবা শেফুদা দেখতেছে বিয়ষটা.....,Yes
তোর অত্যাচার থেকে রেহাই পাওয়া যাবে তাহলে,Yes
তর নাটক ওফ কর,Yes
তোর জালাই পাগল হয়ে গেলাম,Yes
"হ্লার পো তুর ছবি দেখে কে,,,,,তুই ডিসের ব্যবসা শুরু কর",Yes
তুমি খুব বাল ছিড়ছো,Yes
বসে বসে কুকুরের বাল টেনে সোজা কর। চলচ্চিত্র নির্মাণ করা লাগবেনা আবাল চুদা,Yes
"গরুর ট্যাবলেট খা, আরো সুন্দর হয়ে যান",Yes
তুই ভালা হয়েে যা হালার গরের হালা,Yes
এই চুপ কর মাদারবোর্ড,Yes
কারও বাল ছিড়া যাবে না এতে,Yes
হতাশ না হয়ে তুমি তোমার কাজ চালিয়ে যাও,No
বারবার দড়ি ছিড়ে কেন পুটকি মাড়া দিতে জাস,Yes
"সফল হোক আর না হোক, সাপোর্ট দিয়ে পাশে থাকা দরকার",No
ওদের দমিয়ে না রাখলে এতো দিনে মঙ্গল জয় ও সম্ভব হতো।পুরো পৃথিবী যেখানে অসম্ভব বাঙালী সেখানে সম্ভব আমি বিশ্বাস করি।,No
তাদের জন্য শুভ কামনা রইলো,No
আশা থাকবে যাতে অবহেলায় এই প্রতিভা নষ্ট হয়ে না যায়,No
শুভ কামনা রইল,No
"বিশ্বের তুলনায় বাংলাদেশের রকেট সাইন্স খুবই পিছিয়ে। আর এর সবথেকে বড় সমস্যা হচ্ছে ফান্ডিং আর রিসার্চ সেন্টারের অভাব। শুধু রকেট সাইন্স বলে না ইঞ্জিনিয়ারিং এর প্রতিটি সেক্টরেই রিসার্চ এবং ডেভেলপমেন্ট করার মতো যথেষ্ট সুযোগ নেই। আমি যতটুকু মনে করি আমার দেশে এখন টাকার অভাব নেই,প্রতিভার অভাব নেই , অভাব আছে শুধু ভালো গাইডলাইনের আর সঠিক সুযোগের। আশা করছি সরকার তাদের এই ইনোভেশনকে যথেষ্ট সাপোর্ট দিবেন। শুভকামনা।",No
শত খারাপ খবরের মধ্যে একটি ভালো খবর,No
অসাধারণ! তার ক্রিয়েটিভিটি দেখে আমি সত্যিই অবাক,No
নিজের বউয়ের প্রতি আমার আগ্রহ কম,Yes
এ বছরের সবচেয়ে ভালো খবর,No
অনেক অনেক শুভকামনা রইলো!!,No
সফলতা কামনা করছি,No
শুভকামনা তাদের জন্য,No
"সবকিছুর শুরু হয় প্রথম ক্ষুদ্র পদক্ষেপ থেকে, শুভকামনা রইল!",No
সব ইঞ্জিনিয়ার যদি বিসিএস না দিয়ে মেধা গুলা কাজে লাগাতো তাহলে বাইরের দেশ থেকে ইঞ্জিনিয়ার ভাড়া করে আনা লাগতো না,No
এগিয়ে যাক বাংলাদেশ,No
একটাই চাওয়া তাদের যেন প্রাপ্য সম্মানটা দেওয়া হয়৷ তাদের সরকার থেকে উৎসাহ দেওয়ার দাবি জানাচ্ছি,No
শুভ কামনা রইল। ভালো কিছু আশা করি,No
সরকারের উচিত গবেষণা খাতে ব্যাপক বিনিয়োগ করা,No
ভীষণ ভালো লাগল,No
ইনশাআল্লাহ ভালো কিছু হবে,No
অনেক অনেক অভিনন্দন,No
